Family & Model,Logical Width,Logical Height,Physical Width,Physical Height,PPI
iPhone 16 Pro Max,440,956,1320,2868,460
iPhone 16 Pro,402,874,1206,2622,460
iPhone 16 Plus,430,932,1290,2796,460
iPhone 16,393,852,1179,2556,460
iPhone 15 Pro Max,430,932,1290,2796,460
iPhone 15 Pro,393,852,1179,2556,460
iPhone 15 Plus,430,932,1290,2796,460
iPhone 15,393,852,1179,2556,460
iPhone 14 Plus,428,926,1284,2778,458
iPhone 14 Pro Max,430,932,1290,2796,460
iPhone 14 Pro,393,852,1179,2556,460
iPhone 14,390,844,1170,2532,460
iPhone SE 3rd gen,375,667,750,1334,326
iPhone 13 Pro Max,428,926,1284,2778,458
iPhone 13 Pro,390,844,1170,2532,460
iPhone 13 mini,375,812,1080,2340,476
iPhone 13,390,844,1170,2532,460
iPhone 12 Pro Max,428,926,1284,2778,458
iPhone 12 Pro,390,844,1170,2532,460
iPhone 12 mini,375,812,1080,2340,476
iPhone 12,390,844,1170,2532,460
iPhone SE 2nd gen,375,667,750,1334,326
iPhone 11 Pro Max,414,896,1242,2688,458
iPhone 11 Pro,375,812,1125,2436,458
iPhone 11,414,896,828,1792,326
iPhone XR,414,896,828,1792,326
iPhone XS Max,414,896,1242,2688,458
iPhone XS,375,812,1125,2436,458
iPhone X,375,812,1125,2436,458